ObjectId,Country,ISO2,ISO3,Indicator,Variable,Unit,Model,Scenarios,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F2020,F2025,F2030,F2035,F2040,F2045,F2050
34,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.74342,13.95803,14.09509,14.25918,14.36566,14.42974,14.50088
35,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.74332,13.96063,14.13026,14.2165,14.21896,14.1687,14.13988
36,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.73933035,13.94655455,14.09542967,14.23075386,14.27191823,14.25875413,14.25832116
37,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.73933035,13.94578166,14.08680627,14.2495025,14.37017721,14.45997599,14.56733979
38,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.73933035,13.94578166,14.08680627,14.24718991,14.32496383,14.32864218,14.29189033
39,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.73933035,13.94578166,14.08680627,14.24571922,14.34847471,14.41043047,14.46888445
40,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.73933035,13.95308002,14.08644582,14.15874477,14.09271045,13.99916313,13.91547833
41,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.73933035,13.94371603,14.0838959,14.22904281,14.30524717,14.34856464,14.38494341
42,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,5th percentile,Degree Celsius,REMIND-MAgPIE,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.73933035,13.94675345,14.08848563,14.17559671,14.14539275,14.07710167,14.03438131
43,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,GCAM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.07077,14.41752,14.76223,15.04815,15.33207,15.52941,15.72438
44,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,GCAM,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.01488,14.34095,14.61922,14.90144,15.22236,15.51946,15.84462
45,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,GCAM,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.06984,14.39589,14.69872,15.04931,15.38721,15.62208,15.82061
46,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,GCAM,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.01515,14.34076,14.6195,14.91668,15.22881,15.48111,15.74401
47,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,GCAM,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.06956,14.38851,14.70932,14.98206,15.24885,15.41868,15.47671
48,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,GCAM,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.01546,14.34864,14.63464,14.92805,15.23993,15.50062,15.78895
49,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,GCAM,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.07108,14.42592,14.78257,15.0519,15.2998,15.44031,15.45758
50,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.04479,14.41308,14.78074,15.05805,15.3255,15.50627,15.70434
51,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.99169,14.34872,14.60269,14.89419,15.22735,15.49809,15.79899
52,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.04455,14.40362,14.68138,15.0514,15.39713,15.59709,15.79856
53,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.9918,14.34809,14.60365,14.94907,15.28111,15.51389,15.73879
54,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.04482,14.41602,14.84671,15.09703,15.29759,15.39412,15.47328
55,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.99203,14.35371,14.61385,14.89996,15.21687,15.4467,15.69605
56,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,MESSAGEix-GLOBIOM,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,14.04482,14.41487,14.80539,15.03196,15.19689,15.2871,15.36972
57,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.98517889,14.39888825,14.67531861,14.95991741,15.23232378,15.40019239,15.5598589
58,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.98517889,14.33863116,14.5713876,14.87958976,15.19138748,15.48001664,15.80728473
59,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.98517889,14.33863116,14.5713876,14.95563174,15.29110823,15.47975454,15.62952731
60,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.98517889,14.33863116,14.5713876,14.87506104,15.18898092,15.44543916,15.69551823
61,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.98517889,14.45776651,14.77322556,15.02984722,15.11050745,15.07432842,15.03562543
62,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.98517889,14.33522801,14.57608582,14.87379226,15.16523246,15.36584029,15.58408809
63,"Afghanistan, Islamic Rep. of",AF,AFG,Surface temperature,95th percentile,Degree Celsius,REMIND-MAgPIE,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,13.98517889,14.4036246,14.68548312,14.92452202,15.08864655,15.14159401,15.21101342
64,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0006,0.0012,0.0022,0.0326,0.1243,0.2388,0.348
65,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0006,0.0011,0.0016,0.0022,0.0027,0.0028,0.0026
66,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Delayed transition,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0005,0.001,0.0015,0.0055,0.0171,0.0231,0.0529
67,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Fragmented World,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0005,0.001,0.0015,0.0013,0.0002,0.0001,0.0001
68,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Low Demand,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0007,0.0014,0.0032,0.1501,0.3364,0.4654,1.2362
69,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Nationally Determined Contributions (NDCs),"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0006,0.0011,0.0013,0.0018,0.0032,0.0061,0.0132
70,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,GCAM,Net Zero 2050,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0.0007,0.0013,0.0107,0.1259,0.2891,0.4166,0.905
71,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Below 2°C,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0,0,0.4258,1.2074,1.7309,3.9083,6.5056
72,"Afghanistan, Islamic Rep. of",AF,AFG,Emissions and CCS,Bioenergy with CCS,Mt CO2/yr,MESSAGEix-GLOBIOM,Current Policies,"Sources: NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,0,0,0,0,0,0,0
